Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HMC;0001056269;InnerBay;6/17/2018;6/26/2018;6/25/2018;1545680010;HRP;36AA8;Kloeckner Metals Corp.- York;4;21796;;6/24/2018;Light Regular;HRP;;;;0.5045
HMC;0001056306;InnerBay;7/6/2018;7/6/2018;7/16/2018;1544240010;CRFH;32AB7;Canam Steel Corp;7;21601;;7/14/2018;Intermediate Regular;CRFH;;;;1.4906
HMC;0001056308;InnerBay;7/6/2018;7/6/2018;7/16/2018;1544240010;CRFH;32AB7;Canam Steel Corp;7;21790;;7/14/2018;Intermediate Regular;CRFH;;;;1.4906
HMC;0001056310;InnerBay;7/6/2018;7/6/2018;7/16/2018;1544240010;CRFH;32AB7;Canam Steel Corp;7;21741;;7/14/2018;Intermediate Regular;CRFH;;;;1.4906
HMC;0001056313;InnerBay;7/6/2018;7/6/2018;7/16/2018;1544240010;CRFH;32AB7;Canam Steel Corp;7;21586;;7/14/2018;Intermediate Regular;CRFH;;;;1.4906
HMC;0001056315;InnerBay;7/6/2018;7/6/2018;7/16/2018;1544240010;CRFH;32AB7;Canam Steel Corp;7;21698;;7/14/2018;Intermediate Regular;CRFH;;;;1.4906
HMC;0001056320;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21804;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056322;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21700;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056324;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21547;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056327;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21654;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056330;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21750;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056332;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21627;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056335;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21620;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056347;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21588;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056348;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21660;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056350;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21632;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056351;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21764;;7/14/2018;Light Regular;CRFH;;;;1.4906
